name;date;variableId;value
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T19:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T18:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T17:00:00Z;114439;0.4
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T16:00:00Z;114439;6.1
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T15:00:00Z;114439;21.6
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T14:00:00Z;114439;35.2
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T13:00:00Z;114439;39.5
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T12:00:00Z;114439;38.6
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T11:00:00Z;114439;36.1
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T10:00:00Z;114439;9.2
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T09:00:00Z;114439;0.3
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T08:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T07:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T06:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T05:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T04:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T03:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T02:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T01:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-10T00:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T23:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T22:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T21:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T20:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T19:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T18:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T17:00:00Z;114439;0.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T16:00:00Z;114439;11.6
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T15:00:00Z;114439;19.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T14:00:00Z;114439;38.5
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T13:00:00Z;114439;43.2
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T12:00:00Z;114439;25.5
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T11:00:00Z;114439;13.6
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T10:00:00Z;114439;2.4
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T09:00:00Z;114439;0.3
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T08:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T07:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T06:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T05:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T04:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T03:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T02:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T01:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-09T00:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T23:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T22:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T21:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T20:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T19:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T18:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T17:00:00Z;114439;1.2
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T16:00:00Z;114439;17.4
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T15:00:00Z;114439;42.8
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T14:00:00Z;114439;73
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T13:00:00Z;114439;114.5
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T12:00:00Z;114439;96.9
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T11:00:00Z;114439;88.5
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T10:00:00Z;114439;33.9
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T09:00:00Z;114439;2.7
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T08:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T07:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T06:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T05:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T04:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T03:00:00Z;114439;0
RMI - Shared Data (Royal Meteorological Institute) - RMI BIERSET - Solar irradiation;2024-12-08T02:00:00Z;114439;0
